Actual,Predicted
6.123860508651017831e-01,6.614092588424682617e-01
5.502920742990058400e-01,6.510032415390014648e-01
5.735591670553783494e-01,5.575617551803588867e-01
4.170499723525646907e-01,4.881437420845031738e-01
4.698890086772786745e-01,3.974622786045074463e-01
4.357235750759147486e-01,3.876630067825317383e-01
3.912899768008673007e-01,3.833949863910675049e-01
3.981632218065667139e-01,3.919131159782409668e-01
3.980180341592554072e-01,4.014528393745422363e-01
4.089410877952790457e-01,4.326372146606445312e-01
3.732403720510690803e-01,4.441466927528381348e-01
5.025469620257072556e-01,4.425265192985534668e-01
5.562756588275634684e-01,4.870279431343078613e-01
5.546291691250746503e-01,5.015126466751098633e-01
3.502482090949246007e-01,5.064265727996826172e-01
3.443789212248891118e-01,4.403070211410522461e-01
3.862671020236687625e-01,4.001979231834411621e-01
3.423061358771035678e-01,4.038369655609130859e-01
3.614214797401449353e-01,3.829721808433532715e-01
4.212758596189902782e-01,3.998916447162628174e-01
4.068497678542195573e-01,4.437751173973083496e-01
3.444623268946216399e-01,4.779643714427947998e-01
6.073168396047186057e-01,4.857595562934875488e-01
5.483026946209523800e-01,6.072974205017089844e-01
5.447347854157462699e-01,6.525914669036865234e-01
6.016298085685423125e-01,6.135751008987426758e-01
5.791782379162171424e-01,5.525687336921691895e-01
4.066829565147549452e-01,4.893153011798858643e-01
3.899215059974854292e-01,4.133543968200683594e-01
4.293692986818817836e-01,3.686183393001556396e-01
3.922105282667991411e-01,3.934958875179290771e-01
3.997911769157820316e-01,4.030270874500274658e-01
3.646434098709065985e-01,4.283136129379272461e-01
4.506099425736520558e-01,4.334957599639892578e-01
4.658083090581643937e-01,4.703843593597412109e-01
5.134175009807888657e-01,5.004399418830871582e-01
4.875401196716904195e-01,5.247690677642822266e-01
5.402370574479720133e-01,5.108541846275329590e-01
4.300767023251643728e-01,4.909234642982482910e-01
3.918058563136548322e-01,4.544697403907775879e-01
4.509281197581853640e-01,4.170655310153961182e-01
3.925225272535746157e-01,4.387214779853820801e-01
3.605781557461873454e-01,4.257573485374450684e-01
4.058149197297655775e-01,4.100632965564727783e-01
4.484506624572550670e-01,4.441157281398773193e-01
4.120641667619140414e-01,4.992286264896392822e-01
5.204760919192263913e-01,5.339343547821044922e-01
5.490039200664771357e-01,6.017987132072448730e-01
6.082929948504718354e-01,6.274929046630859375e-01
5.740966702603187422e-01,6.186565160751342773e-01
5.632446658985106325e-01,5.437083244323730469e-01
4.034208680985669204e-01,4.636985063552856445e-01
4.482869402166693718e-01,3.865727782249450684e-01
4.458681757944389368e-01,3.942268788814544678e-01
3.563151992932143131e-01,4.071413874626159668e-01
4.430972541000066656e-01,4.003257155418395996e-01
4.273984535971009358e-01,4.436218738555908203e-01
4.673065220144629883e-01,4.709843397140502930e-01
4.056913557746071319e-01,5.021055936813354492e-01
5.476447165597320144e-01,4.956624209880828857e-01
5.229442819235203821e-01,5.248719453811645508e-01
4.642699378164394375e-01,5.157387852668762207e-01
4.460875018148455773e-01,4.687274396419525146e-01
4.382597252555453515e-01,4.622687399387359619e-01
3.841634256870927189e-01,4.455257058143615723e-01
4.189868373496765663e-01,4.089186191558837891e-01
4.863878857898362718e-01,4.228097796440124512e-01
3.903508907416619600e-01,4.704997837543487549e-01
4.351737154754586889e-01,4.820451736450195312e-01
3.676676376734144824e-01,5.225439071655273438e-01
5.428040986163922277e-01,5.383787155151367188e-01
5.939935561397384767e-01,6.040157675743103027e-01
5.734603158912512377e-01,6.541470289230346680e-01
5.564857175513333587e-01,6.161503195762634277e-01
6.270561814413113666e-01,5.268871188163757324e-01
3.740836960450266702e-01,4.828779399394989014e-01
1.149391910885673163e-01,3.814362287521362305e-01
1.385800648092945231e-01,2.600340843200683594e-01
8.804549624828972298e-02,2.068249285221099854e-01
1.392287755738776944e-01,1.691532433032989502e-01
1.601883114676616593e-01,1.530056595802307129e-01
1.161037813659380191e-01,1.654040515422821045e-01
9.494963224277874758e-02,1.847123205661773682e-01
1.968095786778039091e-01,2.085658311843872070e-01
1.091038833062007996e-01,2.256877571344375610e-01
2.456853011408042242e-01,1.699730455875396729e-01
1.301591812652334035e-01,1.944149285554885864e-01
1.138116699977449464e-01,1.640363782644271851e-01
5.856622564631663863e-02,1.507071554660797119e-01
1.614610202057957800e-01,1.321330964565277100e-01
1.041304341110653731e-01,1.675692498683929443e-01
1.413046500205425993e-01,1.687496155500411987e-01
1.199280857780973264e-01,2.053402513265609741e-01
6.048764514903348655e-02,2.411952167749404907e-01
3.082395534398658654e-01,2.499162256717681885e-01
3.011964079958238116e-01,3.318624794483184814e-01
2.895350597277270843e-01,3.684676885604858398e-01
2.728848167701003469e-01,3.606017827987670898e-01
2.168238503146246998e-01,3.277776837348937988e-01
1.525644154343739345e-01,2.821941375732421875e-01
2.020888486619569768e-01,2.349793463945388794e-01
1.246574961617947785e-01,2.308486700057983398e-01
1.253803452994728396e-01,2.140031903982162476e-01
7.950722694682754721e-02,2.018734663724899292e-01
4.360263067660508085e-02,1.782764643430709839e-01
1.070403652550515616e-01,1.493892222642898560e-01
1.752754703925316626e-01,1.625050008296966553e-01
2.582023297983746524e-01,1.971476823091506958e-01
2.059656677550592008e-01,2.480093985795974731e-01
2.243365387882705342e-01,2.542027831077575684e-01
7.518866671403268143e-02,2.479084134101867676e-01
1.244752393279360270e-01,1.857275962829589844e-01
1.009115930791830706e-01,1.662688106298446655e-01
1.223777411891178168e-01,1.448039114475250244e-01
